key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun,img_link_webformatURL,img_link_previewURL
Complot,makri,FR -> KM,C,,,,,,,https://pixabay.com/get/gac01f040a12fb5d275e37a13d6857cb9b84fe83320ae1f180bb3ac00c043e692a48107f243045ac8a64eb2f66ff0b7746d4b9843b2152b14c830971fc368284d_640.png,https://cdn.pixabay.com/photo/2016/09/27/14/46/all-seeing-eye-1698551_150.png
complètement,kaɓisa,FR -> KM,C,adv.,kaɓisa,kaɓisa,kaɓisa,kaɓisa,1.0,,
comportement,twaɓia; taɓia,FR -> KM,C,n. masc.,twaɓia,twaɓia,taɓia,,,https://pixabay.com/get/gabf32611eeeb85f50b222e58ede49678697fc4bd0dc523b88e4a9b2dd749266742e32fe407b2449e54c9fc1431d029a3f8a97b7be1a3c1dfbb30e3d2fa31471c_640.png,https://cdn.pixabay.com/photo/2021/03/08/19/08/argument-6080057_150.png
composer (poésie),pvanga (u-),FR -> KM,C,v.,upvanga,,,,,https://pixabay.com/get/g81dc61a2a56364f7c7f5802f51f17bbad66144dd9605e7407f1b11a18544171e5e941279230c9c54c1433aa09fe95fa2acf1d2e1c8904f2ff4f230e2a89b8d46_640.jpg,https://cdn.pixabay.com/photo/2017/06/10/22/58/composing-2391033_150.jpg
composition,mpango; mupango,FR -> KM,C,n. fem.,mpango,mpango,mpango,mpango,1.0,https://pixabay.com/get/g8e8f103a9a6e66ec6de0db59dd365e6a0ec1299d158b62b5a85a182810c26cdbef128facbc333871445dd5a51fef0160c836cb3fc9d2366848365699debc6c51_640.jpg,https://cdn.pixabay.com/photo/2016/12/16/15/25/christmas-1911637_150.jpg
comprendre,elewa (u-); ɗiriki (u-),FR -> KM,C,v.,hwelewa,hwelewa,hwelewa,hwelewa,1.0,https://pixabay.com/get/g889728214458dde44500f3016a4773a3c4ce0d2336e17e4e96c2d40efd8b768187b90be89b8f403cf17b8cbea52668e42370c0d4004c440eb5d13702da19c7f2_640.png,https://cdn.pixabay.com/photo/2016/10/25/18/27/unknown-1769656_150.png
compresser,samiza (u-),FR -> KM,C,v.,usamiza,,,,,,
"compresser, enfoncer, serrer",samidza (u-),FR -> KM,C,v.,,,usamidza,,,,
compresser; serrer,samiza (u-),KM -> FR,S,v.,usamiza,,,,,https://pixabay.com/get/g976743e081263dfa976644592e8f7024a3eb3679b20e341c40baae1b4097bb908fff7e6a0a3300e8d8ef276a3fca76ea_640.png,https://cdn.pixabay.com/photo/2012/04/12/20/01/pliers-30421_150.png
compréhensif,mwelevu,FR -> KM,C,adj.,mwelevu,mwelevu,mwelevu,mwelevu,1.0,,
comptage,mwazo,FR -> KM,C,n. masc.,mwazo,,,,,https://pixabay.com/get/g31c373c2b8bc2b5043eb542a8a657c304416fae04f99c2fb6027dd40d95c69de1c778edad332a6f253ab1042a68ef502f3ec9daee3b6ed1a86cb32018600cbbb_640.jpg,https://cdn.pixabay.com/photo/2017/08/25/17/47/doll-2680904_150.jpg
comptage; recensement,mwazo,KM -> FR,M,n. masc.,mwazo,,,,,,
compte,hisaɓu; hasiɓu,FR -> KM,C,n. masc.,hisaɓu,,hisaɓu,,,https://pixabay.com/get/gb0c212503cc20fbe990e6db9687f7af71d1653595edb19072333e747310940def6c45ccfef0f5933b6f9a8a60b202c1ebdb1793be38d9da0f326e0b027cb7321_640.jpg,https://cdn.pixabay.com/photo/2018/05/28/12/09/time-3435879_150.jpg
compte; calcul,hisaɓu,KM -> FR,H,n. masc.,hisaɓu,,hisaɓu,,,https://pixabay.com/get/g6ad4dacd5be7ae0d96edfaaeb196504ad24c33974566ee2ded3643288d31e940d7c2fb194b56afe8cd1b6886473d78e6_640.jpg,https://cdn.pixabay.com/photo/2015/01/28/22/20/bookkeeping-615384_150.jpg
compter,waza (u-); hasiɓu (u-),FR -> KM,C,v.,uwaza,,uhasiɓu,uhasiɓu,,https://pixabay.com/get/g2225d89ff4b318afac721ee8324f3e09268d1eff6a296ea2be1a5edc833e57f1f2b63f5c9b77760ca038e2fb62591ac8bb8297106cd2868a301b51c7c3069e04_640.jpg,https://cdn.pixabay.com/photo/2016/11/29/01/16/abacus-1866497_150.jpg
compter; calculer,hasiɓu (u-),KM -> FR,H,v.,uwaza,,uhasiɓu,uhasiɓu,,https://pixabay.com/get/g9278b581d2d8d085b2e93a5f29cd17a1785ab207494d45d0508d0c5564e9adeac5b8b7b68096e26200c7b347e8506856_640.jpg,https://cdn.pixabay.com/photo/2015/10/11/11/20/banner-982162_150.jpg
compétence,uhodari,FR -> KM,C,n. fem.,uhodari,uhodari,uhodari,,,https://pixabay.com/get/gedaa14ba271720a02c6578c2b5b5592f7ae0253f775c9090205fb5a7d57e41a19552255bf8377d1aeb112724986534bc663aa58e9662a0cd8d0a10dd466552f7_640.jpg,https://cdn.pixabay.com/photo/2016/04/20/08/21/entrepreneur-1340649_150.jpg
compétent (pers.),mhodari,FR -> KM,C,n. masc.,mhodari,mhodari,mhodari,,,https://pixabay.com/get/g8d0d3c9e2348c8d9ab3fec57fa32e5dc9e2244fb38ba6f0574abe2bad372a56c60d2ab02ac47cb808a37eeef575e287ad7047941c51b0ac43172f9f41f901efe_640.jpg,https://cdn.pixabay.com/photo/2016/04/20/08/21/entrepreneur-1340649_150.jpg
compétition,mashindrano; mashinɗano,FR -> KM,C,n. fem.,mashinɗano,,mashindrano,,,https://pixabay.com/get/ged027745e56498e61a7ded4491d2fe5bf556f78c5b8d315729eccf2f505e79764ec2db5fe8651b6791717d4ef712c2e570703208b5dac54429d781e4ac74885c_640.jpg,https://cdn.pixabay.com/photo/2020/05/11/17/08/boat-5159224_150.jpg
concassage,mfuo,FR -> KM,C,n. masc.,mfuo,mfuo,mfuo,mfuo,1.0,https://pixabay.com/get/g5011e74426ec731be347626db1236a678f749c184672e1c4b6fe4623092bc7f03c6fadbc298e390c0aee920ebc8883cd628399a9eafd9f04cb97ecb20af6a3d8_640.jpg,https://cdn.pixabay.com/photo/2019/08/26/06/24/quarry-4430879_150.jpg
concasser,fua (u-),FR -> KM,C,v.,ufua,ufua,ufua,ufua,1.0,,
concentrer,faliki (u-),FR -> KM,C,v.,ufaliki,,,,,https://pixabay.com/get/g43235f01685bc5372b8d7ac1171cbedd1b170362f6f45914f3dd82cbb38cdf5b27e74e2ebc1a8bd10942db4ceb7ac3f81d077c51610a7d6fa7a133592bfe2e17_640.jpg,https://cdn.pixabay.com/photo/2015/12/15/06/42/kids-1093758_150.jpg
concentrer; cibler,faliki (u-),KM -> FR,F,v.,ufaliki,,,,,https://pixabay.com/get/g55c0a374e8e126db3c902bbe2a5116a2dac16dce84dc4bc21174a3d48b86108c99819f5e893a12438fd9f4e18e8b0c65cbf648fbbd7c439064e7eacad69bec0b_640.jpg,https://cdn.pixabay.com/photo/2017/10/24/21/25/arrow-2886223_150.jpg
concerner,pasa (u-); husu (u-),FR -> KM,C,v.,upasa,,upasa,,,https://pixabay.com/get/g8c3c2f55f3c977c98950c9ee2b5b1f48e882fdce440de21211bf6179664ee07b49df17e4b7fe52143709c05275cb1a853abacd4e508b2c1c6f31a98f0fea3175_640.jpg,https://cdn.pixabay.com/photo/2018/01/21/14/35/young-3096733_150.jpg
conclure,maliza (u-),FR -> KM,C,v.,umaliza,,,umaliza,,https://pixabay.com/get/g93b0b0be496a318bcef947af25cdd542d251911c1da1b9f0fc70eaed91f085080a8dc0b1c668a757dfe196c033bc7ec4faa152b5c44d40a548d43fc463da9ddf_640.jpg,https://cdn.pixabay.com/photo/2021/09/10/05/28/woman-6612119_150.jpg
conclure; terminer,maliza (u-),KM -> FR,M,v.,umaliza,,,umaliza,,,
concombre,kokombr,FR -> KM,C,n. masc.,,,,kokombr,,https://pixabay.com/get/g39582a062394a8629c7a8f343ff398b4c2a007a342b6eaf51e87d928b3ad8d675a196547ce5c046c2962ea7f756ba4457f59570df567d72de1df04221537201e_640.jpg,https://cdn.pixabay.com/photo/2017/10/09/19/29/eat-2834549_150.jpg
condamnation,haɗi,FR -> KM,C,n. fem.,haɗi,,,,,,
condamner,haɗi (u-),FR -> KM,C,v.,uhaɗi,,,,,https://pixabay.com/get/g47a08104e563b526e0becd357bc1965168ebbb219c13d990cfac26e8b3dbdf6ddd9ef4522c9f7a716b262dde0cbc79f5_640.jpg,https://cdn.pixabay.com/photo/2014/12/02/11/21/prison-553836_150.jpg
condition,shartwi; sharuti,FR -> KM,C,n. fem.,shartwi,shartwi,sharuti,,,,
conduire,ɓalia (u-); enɗesa (u-); pvinga (u-); endresa (u-),FR -> KM,C,v.,hwenɗesa,,hwendresa,upvinga,,https://pixabay.com/get/g73a72d1121db8085c11498ca4af51ea270d65ddc68234d79186d8dcedea83be6adb35aa47cfb8a85d4abe0bbafc492e2_640.jpg,https://cdn.pixabay.com/photo/2013/11/28/10/36/road-220058_150.jpg
confiance,uaminifu,FR -> KM,C,n. fem.,uaminifu,uaminifu,uaminifu,uaminifu,1.0,,
confiance (faire -),twamaya (u-); tama (u-),FR -> KM,C,v.,utwamaya,utama,utama,utama,,,
confidance,shiwara,FR -> KM,C,n. fem.,shiwara,,shiwara,,,,
confier (qqch),stakaɓadhisha (u-),FR -> KM,C,v.,ustakaɓadhisha,,,,,https://pixabay.com/get/g650a5281f3d573239332ef30873de4f009eb75e5df5d5348444289834ec737e16674e40af27e3c7ddad4171c6743b66ded7e5ddae3dbb01576f5f50a818e5503_640.jpg,https://cdn.pixabay.com/photo/2018/04/13/11/52/girl-3316342_150.jpg
"confier, envoyer un message, faire dire à",lagidza (u-),FR -> KM,C,v.,,ulagidza,ulagidza,,,,
confondre,rehanya (u-); hizi (u-),FR -> KM,C,v.,urehanya,,uhizi,,,https://pixabay.com/get/g98efa29760aced1236695a3dbe82dd8147eb62e467051366bfffd571fa02f50593a279dcacd48a3f78b0be38dff635a4eff91f5647d91b077778e3251179989b_640.jpg,https://cdn.pixabay.com/photo/2017/05/07/11/18/road-signs-2292144_150.jpg
confrérie,twarika,FR -> KM,C,n. fem.,,twarika,,,,https://pixabay.com/get/g5d5156d2c9a2dc561d8bf2aa3c8e02a06abc682760718a62767a44ac134ec9eb694f041dd540e2e087727510884af735_640.jpg,https://cdn.pixabay.com/photo/2015/09/11/11/37/chapel-935630_150.jpg
confus (être -),ɓaɓaiha (u-),FR -> KM,C,v.,uɓaɓaiha,,,,,https://pixabay.com/get/gc4a67a111bab4069e3c585f01386ef900e254edd7de140cd2932b4c30ddbd30b7af1cbac8fd976974c200fd171a6afd432de69d2344599fe6e5d226a8d476935_640.jpg,https://cdn.pixabay.com/photo/2017/11/26/15/16/smiley-2979107_150.jpg
confusion,shaɗaha; ɓalɓala,FR -> KM,C,n. fem.,shaɗaha,,,ɓalɓala,,https://pixabay.com/get/g05a000b729728e35af13a4997a20e3382c3b2abee2c364de384a63a98c13295a840c10e8a2ea09cc35c22e74abecf7d7aac7fa2dcfa0b7849075ac5f001d11ba_640.jpg,https://cdn.pixabay.com/photo/2016/10/24/23/11/doors-1767562_150.jpg
conférence,kungumanyo,FR -> KM,C,n. fem.,kungumanyo,kungumanyo,,,,https://pixabay.com/get/g481b0c7ce114ff190e166587a12ed3354776788fbba8b8f4b48d0aaaf768dde8f034bf009de4c58748bb4b97618f2929_640.jpg,https://cdn.pixabay.com/photo/2015/01/09/11/08/startup-594090_150.jpg
congratuler,fereshea (u-),FR -> KM,C,v.,ufereshea,ufereshea,ufereshea,ufereshea,1.0,,
connaissances,maârifa,FR -> KM,C,n. fem.,maârifa,,,,,,
connaissances; information,maârifa,KM -> FR,M,n. fem.,maârifa,,,,,,
connaître,djua (u-); jua (u-),FR -> KM,C,v.,udjua,ujua,ujua,udjua,,,
connaître; savoir,djua (u-),KM -> FR,D,v.,udjua,ujua,ujua,udjua,,,
conque,kome,FR -> KM,C,n. fem.,kome,,,,,,
consacrer,djishuhulisha (u-),FR -> KM,C,v. tra.,udjishuhulisha,,,,,,
conscience,hisi,FR -> KM,C,n. fem.,hisi,,,,,,
conscient (être -),hisi (u-),FR -> KM,C,v.,uhisi,,,,,,
conscient (être -); sentir,hisi (u-),KM -> FR,H,v.,uhisi,,,,,,
conseil,shawiri; mawaidha; waswiya,FR -> KM,C,n. masc.,waswiya,waswiya,waswiya,,,,
"conseil, recommandation",wasia,FR -> KM,C,n.,,,wasia,,,,
conseiller,mra-ndrazi,FR -> KM,C,adj.,mra-ndrazi,,,,,,
constater,tanaɓahi (u-),FR -> KM,C,v.,utanaɓahi,,utanaɓahi,,,,
constipation,nkoma,FR -> KM,C,,,,,,,,
constipation ,nkoma,KM -> FR,N,,,,,,,,
construction,bunɗo,KM -> FR,B,n. fem.,bunɗo,,,bunɗo,,,
construire,unda (u-); undra (u-),FR -> KM,C,v.,uunda,uundra,uundra,,,,
construire (case),waha (u-),FR -> KM,C,v.,uwaha,,uwaha,uwaha,,,
construire; bâtir,unda (u-),KM -> FR,U,v.,uunda,uundra,uundra,,,,
contaminer,tupidza (u-); tupia (u-),FR -> KM,C,v.,,,utupidza,,,,
conte,hale,FR -> KM,C,n. masc.,hale,hale,hale,hale,1.0,,
conte; longtemps (il y a -); jadis,hale,KM -> FR,H,n. masc.,hale,hale,hale,hale,1.0,,
conteneur,ciranka,FR -> KM,C,n. masc.,ciranka,,,,,,
conteneur; malle,ciranka,KM -> FR,C,n. masc.,ciranka,,,,,,
content (être -),djipviwa (u-); jiviwa (u-),FR -> KM,C,v.,udjipviwa,ujiviwa,ujiviwa,,,,
content (être -); joyeux (être -); se réjouir ,djipviwa (u-),KM -> FR,D,v.,udjipviwa,ujiviwa,ujiviwa,,,,
contentement,makura,FR -> KM,C,n. masc.,,,makura,,,,
contenter,jiva (u-),FR -> KM,C,v.,,ujiva,ujiva,,,,
continent,ɓara,FR -> KM,C,n. masc.,ɓara,,ɓara,,,,
continuer,kazana (u-); ɗumu (u-); endrelea (u-),FR -> KM,C,v.,ukazana,hwendrelea,hwendrelea,uɗumu,,,
contoure,mviringo,FR -> KM,C,n. masc.,mviringo,,,,,,
contracter,pviala (u-),FR -> KM,C,v.,upviala,,,,,,
contraction (d'une femme enceinte),nvuna,FR -> KM,C,n. fem.,nvuna,,,,,,
contradiction,mgongeano,FR -> KM,C,n. fem.,mgongeano,,,,,,
contraire,kinyume,FR -> KM,C,n. masc.,kinyume,kinyume,kinyume,,,,
contrarier,tukia (u-),FR -> KM,C,v.,utukia,,utukia,,,,
contrat,mkataɓa; mukataɓa,FR -> KM,C,n. masc.,mkataɓa,mkataɓa,mukataɓa,,,,
contrat; promesse; engagement,mukataɓa,KM -> FR,M,n. masc.,mkataɓa,mkataɓa,mukataɓa,,,,
contrat; traité ; convention; charte,mkataɓa,KM -> FR,M,n. masc.,mkataɓa,mkataɓa,mukataɓa,,,,
contrebande,magendro,FR -> KM,C,n. masc.,magendro,,,,,,
contribution,taɓaruku,FR -> KM,C,n. fem.,,,taɓaruku,,,,
contrôle,utunduzi,FR -> KM,C,n. masc.,utunduzi,utunduzi,utunduzi,utunduzi,1.0,,
contrôle; surveillance,utunduzi,KM -> FR,U,n. masc.,utunduzi,utunduzi,utunduzi,utunduzi,1.0,,
contrôler,tunda (u-),FR -> KM,C,v.,utunda,utunda,utunda,utunda,1.0,,
convenir,fayi (u-),FR -> KM,C,v.,ufayi,,,,,,
convenir de,wafiki (u-),FR -> KM,C,v.,uwafiki,uwafiki,uwafiki,uwafiki,1.0,,
convenir; correspondre,fayi (u-),KM -> FR,F,v.,ufayi,,,,,,
convention,mkataɓa,FR -> KM,C,n. masc.,mkataɓa,mkataɓa,,,,,
convertir au Christianisme,naswariha (u-),FR -> KM,C,v. tra.,unaswariha,,,,,,
convier,lalika (u-),FR -> KM,C,v.,ulalika,,ulalika,,,,
convulsions,zivindro,FR -> KM,C,n.,,,zivindro,,,,
copie,nakala,FR -> KM,C,n. fem.,nakala,,,,,,
copie; article de presse,nakala,KM -> FR,N,n. fem.,nakala,,,,,,
copier,kopea (u-),FR -> KM,C,v.,,ukopea,,,,,
coq,kuɗume; kukui; kokoi,FR -> KM,C,n. masc.,kuɗume,kukui,kukui,kokoi,,,
coque (noix de coco),mcele,FR -> KM,C,n. masc.,mcele,,,,,,
coquillage (cône),nkaure; kombe; kwitsi,FR -> KM,C,n. masc.,nkaure,,kwitsi,kombe,,,
coquillage (cône); coquille bivalve,kombe,KM -> FR,K,n. masc.,nkaure,,kwitsi,kombe,,,
coquillage (cône); grain de café (coquillage),nkaure,KM -> FR,N,n. masc.,nkaure,,kwitsi,kombe,,,
coquille,fururu,FR -> KM,C,n.,,,fururu,,,,
coquille bivalve,kombe,FR -> KM,C,n. fem.,,,kombe,kombe,,,
corail,swai; mwamɓa,FR -> KM,C,n. masc.,swai,swai,mwamɓa,,,,
Coran,Kurän; mswahafu,FR -> KM,C,n. masc.,Kurän,Kurän,Kurän,Kurän,1.0,,
Coran; papillon,mswahafu,KM -> FR,M,n. masc.,Kurän,Kurän,Kurän,Kurän,1.0,,
corbeau,gawa; kwai,FR -> KM,C,n. masc.,gawa,kwai,kwai,,,,
corbeille,kanga; trawa,FR -> KM,C,n. fem.,kanga,trawa,kanga,trawa,,,
corbeille; pintade,kanga,KM -> FR,K,n. fem.,kanga,trawa,kanga,trawa,,,
corde,ngwe; pondzi; mbondzi; pwendzi; hamɓa; sheɓuni,FR -> KM,C,n. fem.,ngwe,ngwe,ngwe,ngwe,1.0,,
corde (grosse -),mkaɓaya,FR -> KM,C,n. fem.,mkaɓaya,,,,,,
corde d’écorce de cocotier,ɓindro,FR -> KM,C,,,,,,,,
corde; fil,mbondzi,KM -> FR,M,n. fem.,ngwe,ngwe,ngwe,ngwe,1.0,,
corde; fil; mèche,pwendzi,KM -> FR,P,n. fem.,ngwe,ngwe,ngwe,ngwe,1.0,,
cordon ombilical,ndovu,FR -> KM,C,loc. v.,ndovu,ndovu,ndovu,ndovu,1.0,,
cordonnier,mfuma-nkaɓwa,FR -> KM,C,adj.,mfuma-nkaɓwa,,,,,,
corne,nyonga,FR -> KM,C,n. fem.,nyonga,nyonga,,,,,
corossol,konokono; konoko ziba,FR -> KM,C,n. masc.,konokono,konokono,konokono,konokono,1.0,,
corossolier,mkonokono,FR -> KM,C,n. masc.,mkonokono,,,,,,
corossolier; attier,mkonokono,KM -> FR,M,n. masc.,mkonokono,,,,,,
corps,ziungo; mwili,FR -> KM,C,n. masc.,mwili,mwili,mwili,mwili,1.0,,
corps; membre,ziungo,KM -> FR,Z,n. masc.,mwili,mwili,mwili,mwili,1.0,,
correct,ki-haki,FR -> KM,C,adj.,ki-haki,,,,,,
correspondre,fayi (u-),FR -> KM,C,v.,ufayi,,,,,,
corriger,rekeɓesha (u-); ondra (u-),FR -> KM,C,v.,urekeɓesha,,uondra,,,,
corriger; punir,ondra (u-),KM -> FR,O,v.,urekeɓesha,,uondra,,,,
corruption,uɓadhilifu; mkarakara,FR -> KM,C,n. fem.,uɓadhilifu,,mkarakara,,,,
cortège,sindzo,FR -> KM,C,n. masc.,sindzo,,,,,,
cortège; attroupement,sindzo,KM -> FR,S,n. masc.,sindzo,,,,,,
corvée,usimɓufu,FR -> KM,C,n. fem.,usimɓufu,,,,,,
costume,kosti,FR -> KM,C,n. masc.,,,kosti,,,,
costume; veste; veston,kosti,KM -> FR,K,n. masc.,,,kosti,,,,
cotisation,mtsango,FR -> KM,C,n. fem.,mtsango,mtsango,mtsango,mtsango,1.0,,
cotiser,tsanga (u-),FR -> KM,C,v.,utsanga,utsanga,utsanga,utsanga,1.0,,
cotiser; collecter,tsanga (u-),KM -> FR,T,v.,utsanga,utsanga,utsanga,utsanga,1.0,,
coton,upvamɓa,FR -> KM,C,n. masc.,upvamɓa,upvamɓa,,,,,
cotonnade à fleurs,patri,FR -> KM,C,n. masc. loc.,,,patri,,,,
cou,ntsingo; tsingo,FR -> KM,C,n. masc.,ntsingo,,tsingo,ntsingo,,,
coucher,lala (u-),FR -> KM,C,v. tra.,ulala,ulala,ulala,ulala,1.0,,
"coucher (soleil, lune)",tswa (hu-),FR -> KM,C,v. tra.,hutswa,hutswa,hutswa,,,,
"coucher (soleil, lune); disparaître",tswa (hu-),KM -> FR,T,v. tra.,hutswa,hutswa,hutswa,,,,
coucher qq'un,ladza (u-),FR -> KM,C,v.,,uladza,uladza,,,,
coucher; étendre; allonger,lala (u-),KM -> FR,L,v. tra.,ulala,ulala,ulala,ulala,1.0,,
coude,ivuhu; ntsundzuni; tsundzuni,FR -> KM,C,n. masc.,ivuhu,ntsundzuni,tsundzuni,,,,
coudre,sonya (u-); sona (u-); shona (u-),FR -> KM,C,v.,usonya,usona,usona,,,,
couler,rora (u-); triha (u-),FR -> KM,C,v.,utriha,utriha,,,,,
couleur,range,FR -> KM,C,n. fem.,range,range,range,range,1.0,,
coup d'Etat,ufwakuzi,FR -> KM,C,loc. n. masc.,ufwakuzi,,,,,,
coup de pied,nɗaru,FR -> KM,C,n. masc.,nɗaru,,,,,,
coup sur la tête avec l'extrémité des phalanges,nkwala; pwala,FR -> KM,C,loc.,pwala,,,,,,
coupe,kopwa,FR -> KM,C,n. fem.,kopwa,,,,,,
coupe-coupe,kononɗe,FR -> KM,C,n. masc.,kononɗe,,,,,,
coupe-coupe; machette; aloe vera,kononɗe,KM -> FR,K,n. masc.,kononɗe,,,,,,
couper,pasua (u-); tsindza (u-); ungua (u-); katra (u-); kutrua (u-),FR -> KM,C,v.,upasua,upasua,upasua,upasua,1.0,,
couper (une corde),ruɓua (u-),FR -> KM,C,v.,uruɓua,,,,,,
couper (une corde); rompre,ruɓua (u-),KM -> FR,R,v.,uruɓua,,,,,,
couper; tailler; trancher,katra (u-),KM -> FR,K,v.,upasua,upasua,upasua,upasua,1.0,,
coupure,mkatro,FR -> KM,C,n. fem.,,mkatro,,,,,
cour,lakuru,FR -> KM,C,n. fem.,,lakuru,lakuru,,,,
cour (maison),uwandza; kura,FR -> KM,C,n. fem.,uwandza,,,,,,
courage,udjasiri; ɓari,FR -> KM,C,n. masc.,udjasiri,,ɓari,,,,
courageux,sudjaâ; mdjasiri; mushudjaha; msuɓuti; shudjaî,FR -> KM,C,adj. subst.,sudjaâ,,shudjaî,,,,
courageux; audacieux,sudjaâ,KM -> FR,S,adj. subst.,sudjaâ,,shudjaî,,,,
courageux; brave,shudjaî,KM -> FR,S,adj. subst.,sudjaâ,,shudjaî,,,,
coureur de jupon,musindzi,FR -> KM,C,loc.,,,,musindzi,,,
courir,ra mɓio (hu-); rema mbio (u-),FR -> KM,C,v.,mɓio,,mbio,,,,
cours,darasa,FR -> KM,C,n. fem.,darasa,darasa,darasa,darasa,1.0,,
course (à pied),mɓiyo,FR -> KM,C,n. fem.,mɓiyo,mɓiyo,mɓiyo,mɓiyo,1.0,,
court,mkutri; -kutri,FR -> KM,C,adj. adv.,,,mkutri,,,,
cousin(e),mshe-mwananya,FR -> KM,C,subst.,,mshe-mwananya,,,,,
coussin,mtao,FR -> KM,C,n. masc.,mtao,,,mtao,,,
coussinet (de tête),nkarwa; kara,FR -> KM,C,n. masc.,nkarwa,kara,kara,,,,
couteau,shononɗe; sembea,FR -> KM,C,n. masc.,shononɗe,,sembea,sembea,,,
coutume,âɗa; kitaɓi; kataɓi,FR -> KM,C,n. fem.,âɗa,âɗa,kitaɓi,,,,
coutume; mariage (grand -),âɗa,KM -> FR,A,n. fem.,âɗa,âɗa,kitaɓi,,,,
coutume; tradition,kataɓi,KM -> FR,K,n. fem.,âɗa,âɗa,kitaɓi,,,,
couture,msonyo; masono,FR -> KM,C,n. fem.,msonyo,,masono,,,,
couver,aria (u-),KM -> FR,A,v.,uwaria,hwaria,,,,,
couvercle,ifiniho; shifinikio; shifininkio,FR -> KM,C,n. masc.,ifiniho,shifininkio,shifinikio,,,,
couvercle de marmite,traku,FR -> KM,C,n. masc.,,,traku,,,,
couverture,pambo,FR -> KM,C,n. fem.,pambo,,,,,,
couverture; enveloppe (en général),pambo,KM -> FR,P,n. fem.,pambo,,,,,,
couvrir,pvamɓa (u-); pvishia (u-); finiha (u-); finikia (u-); fininkia (u-),FR -> KM,C,v.,upvishia,ufininkia,upvishia,,,,
couvrir; envelopper,finiha (u-),KM -> FR,F,v.,upvishia,ufininkia,upvishia,,,,
coïncider,wafikiana (u-),FR -> KM,C,v.,uwafikiana,,uwafikiana,,,,
coïncider; s'accorder (moralement),wafikiana (u-),KM -> FR,W,v.,uwafikiana,,uwafikiana,,,,
coût,gharama,FR -> KM,C,n. masc.,gharama,,,,,,
coûter,fa (hu-),FR -> KM,C,v.,hufa,hufa,hufa,hufa,1.0,,
coûteux,ghali,FR -> KM,C,adj.,ghali,ghali,ghali,ghali,1.0,,
crabe,djandze; ikale; ganka; dradraka; kalafuba; ntsandza; kala,FR -> KM,C,n. masc.,ikale,ganka,ntsandza,ntsandza,,,
crachat,kanguzi,FR -> KM,C,n. masc.,kanguzi,,,,,,
crachat glaireux,ɗoho,FR -> KM,C,n. masc.,,,ɗoho,,,,
cracher,tra (u-) mare,FR -> KM,C,v.,mare,,,,,,
craie,lakre,FR -> KM,C,n. fem.,lakre,,,lakre,,,
craindre,ria (u-),FR -> KM,C,v.,uria,uria,uria,uria,1.0,,
craindre; avoir peur de,ria (u-),KM -> FR,R,v.,uria,uria,uria,uria,1.0,,
crainte,harara,FR -> KM,C,n. fem.,harara,,harara,harara,,,
crainte; angoisse,harara,KM -> FR,H,n. fem.,harara,,harara,harara,,https://pixabay.com/get/gaedfd88bb4f077bf87a2e3fef0a8635d8a4968c8d145af196b14e34bf7a0dc83915637a7266df4844cb04270ce1510b3f9f15cfcab9c63daa992fd9800455556_640.jpg,https://cdn.pixabay.com/photo/2016/12/31/18/55/feelings-1943568_150.jpg
craintif,mshangavu,FR -> KM,C,adj.,mshangavu,,,,,https://pixabay.com/get/g38ed51c7a6d4bdfc491304b1419d40bd0b388031cbe0c089ff3b65b2e4bb0495e54cb36e5fff9ee14c87c8e87ca37b5e_640.jpg,https://cdn.pixabay.com/photo/2015/09/28/19/04/cat-962535_150.jpg
craintif; peureux,mshangavu,KM -> FR,M,adj.,mshangavu,,,,,,
crasse,ɓidza; ushi,FR -> KM,C,n. fem.,ushi,ɓidza,,,,,
cratère,shungu,FR -> KM,C,n. masc.,shungu,,,,,https://pixabay.com/get/g8f20bdf3751f9e12adf28b724fd04639c2a88867a2d76330f3f4ef5971141ef93ed37d168335c7464a32fd93da5d643b53f0561855c580ce59b2a2ca4937ad1a_640.jpg,https://cdn.pixabay.com/photo/2016/11/29/13/14/full-moon-1869760_150.jpg
crayon,kalamu; pinsili,FR -> KM,C,n. masc.,kalamu,kalamu,kalamu,kalamu,1.0,https://pixabay.com/get/ga1a90ba1bc8ded346076eb0ceac0607ee5aac684e49b4badd179904690c8d194a7f6a1201195c02f21ec6fba09a8ce25b220e4fd29ad3696f43544f4b9aea8ea_640.jpg,https://cdn.pixabay.com/photo/2015/12/15/06/42/kids-1093758_150.jpg
crayon; stylo,kalamu,KM -> FR,K,n. masc.,kalamu,kalamu,kalamu,kalamu,1.0,https://pixabay.com/get/g0ffbea9f6e15a0925883dad7f3d418c5aa1d1345272b8286c658a9d5e1cf1881686fbc25c201e28e0a82b9317c5d7a78_640.jpg,https://cdn.pixabay.com/photo/2015/07/19/10/00/school-work-851328_150.jpg
