key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun
citron,nɗimu; ndrimu,FR -> KM,C,n. masc.,nɗimu,ndrimu,ndrimu,nɗimu,
citron jaune,vuraɓa; vuɓara,FR -> KM,C,n. masc. loc.,vuraɓa,vuɓara,vuraɓa,,
citron vert,ndrimu,FR -> KM,C,n. masc. loc.,,ndrimu,ndrimu,,
citron; citron vert,ndrimu,KM -> FR,N,n. masc.,nɗimu,ndrimu,ndrimu,nɗimu,
citronnelle,sandze-marashi; sandze-matra,FR -> KM,C,n. fem.,sandze-marashi,sandze-marashi,sandze-matra,,
citrouille,trango,FR -> KM,C,n. fem.,trango,trango,trango,trango,1.0
civette,ngava,FR -> KM,C,n. fem.,ngava,ngava,ngava,ngava,1.0
civilisation,ustaâraɓu,FR -> KM,C,n. fem.,ustaâraɓu,ustaâraɓu,ustaâraɓu,ustaâraɓu,1.0
civilisé (pers.),mustaâraɓu; mustwaâraɓu,FR -> KM,C,adj.,mustaâraɓu,mustwaâraɓu,,,
civière,fitako,FR -> KM,C,n. fem.,fitako,fitako,fitako,fitako,1.0
civière; chaise à porteurs; trône,fitako,KM -> FR,F,n. fem.,fitako,fitako,fitako,fitako,1.0
clair de lune,mwangaza,FR -> KM,C,n. masc.,mwangaza,,,,
claire,-pvenufu,FR -> KM,C,adj.,-pvenufu,,,,
clairement,ha unanufu,FR -> KM,C,adv.,unanufu,,,,
clairière,itsendzo,FR -> KM,C,n. fem.,itsendzo,,,,
clairon,tarumbeta,FR -> KM,C,n. masc.,tarumbeta,,,,
clairon; trompette,tarumbeta,KM -> FR,T,n. masc.,tarumbeta,,,,
clan,hinya,FR -> KM,C,n. masc.,hinya,,,,
claque,pi,FR -> KM,C,n. fem.,pi,pi,pi,,
claque au dos,saɓwa,FR -> KM,C,n. fem.,saɓwa,saɓwa,,,
claque au dos; idiot,saɓwa,KM -> FR,S,n. fem.,saɓwa,saɓwa,,,
claque; gifle,pi,KM -> FR,P,n. fem.,pi,pi,pi,,
clarifier,nanua (u-),FR -> KM,C,v.,unanua,,,,
clarté,nuru; upvenufu,FR -> KM,C,n. fem.,upvenufu,upvenufu,nuru,,
clarté; évidence,upvenufu,KM -> FR,U,n. fem.,upvenufu,upvenufu,nuru,,
classe,djintsi,FR -> KM,C,n. fem.,djintsi,,,,
clef,mfunguo,FR -> KM,C,n. fem.,mfunguo,mfunguo,mfunguo,mfunguo,1.0
clef; Chawwal,mfunguo,KM -> FR,M,n. fem.,mfunguo,mfunguo,mfunguo,mfunguo,1.0
client,mhuladji; mnunuzi,FR -> KM,C,n. masc.,mhuladji,,mnunuzi,mnunuzi,
client; acheteur,mnunuzi,KM -> FR,M,n. masc.,mhuladji,,mnunuzi,mnunuzi,
cligner,pvenya (u-); funya (u-),FR -> KM,C,v.,upvenya,,,,
cligner; étinceler; clignoter,pvenya (u-),KM -> FR,P,v.,upvenya,,,,
clignoter,pvenya (u-),FR -> KM,C,v. tra.,upvenya,,,,
climat,milendje; mlendje,FR -> KM,C,n. masc.,mlendje,,,,
clitoris,shilepe; itoka,FR -> KM,C,n. masc.,itoka,,shilepe,,
clochard,fukara,FR -> KM,C,n. masc.,fukara,fukara,,fukara,
cloche,kengele,FR -> KM,C,n. fem.,kengele,,kengele,,
cloche; sonnette,kengele,KM -> FR,K,n. fem.,kengele,,kengele,,
clochette,nkegele,FR -> KM,C,n. fem.,,nkegele,,,
cloison,pesi,FR -> KM,C,n. fem.,pesi,,pesi,pesi,
clou,msumari; mshumari,FR -> KM,C,n. masc.,msumari,mshumari,mshumari,,
clou de girofle,karanfu,FR -> KM,C,n. masc.,karanfu,,,,
clou de girofle; girofle,karafu,KM -> FR,K,n. masc.,karanfu,,,,
club,cama,FR -> KM,C,n. masc.,,,,cama,
clémentine,ɗandzi; cendza,FR -> KM,C,n. fem.,cendza,ɗandzi,ɗandzi,,
clôture,vala; ɓaho; mraɓa,FR -> KM,C,n. fem.,vala,mraɓa,,mraɓa,
coccinelle,iɓaraka,FR -> KM,C,n. fem.,iɓaraka,,,,
coco-boire,idjavu; shijavu; shidjavu,FR -> KM,C,n. masc.,idjavu,shijavu,shijavu,shidjavu,
coco-boire; noix de coco verte,idjavu,KM -> FR,I,n. masc.,idjavu,shijavu,shijavu,shidjavu,
cocotier,munadzi; mnadzi; mnazi,FR -> KM,C,n. masc.,mnazi,mnadzi,munadzi,mnadzi,
coffre,lakofu; kasha; ɓweta,FR -> KM,C,n. masc.,lakofu,kasha,kasha,,
coffret,mkeɓe,FR -> KM,C,n. masc.,mkeɓe,,,,
cogner,ɓiha (u-),FR -> KM,C,v.,uɓiha,,uɓiha,,
coiffer,suka (u-),FR -> KM,C,v.,usuka,usuka,usuka,usuka,1.0
coiffeur,msukadji,FR -> KM,C,n. masc.,msukadji,,,,
coin,mbeɓe; mpemɓe,FR -> KM,C,n. masc.,mbeɓe,mpemɓe,,,
coin (espace),kotso,FR -> KM,C,n. masc.,,,kotso,,
coin; angle,mpemɓe,KM -> FR,M,n. masc.,mbeɓe,mpemɓe,,,
col (chemise),kaɓa,FR -> KM,C,n. masc.,kaɓa,kaɓa,kaɓa,kaɓa,1.0
colis,mdzo; mzigo,FR -> KM,C,n. masc.,mdzo,mdzo,mdzo,mdzo,1.0
colis; bagage; charge; fardeau,mdzo,KM -> FR,M,n. masc.,mdzo,mdzo,mdzo,mdzo,1.0
colle,gundri,FR -> KM,C,n. fem.,gundri,,,,
collecte,mtsango,FR -> KM,C,n. fem.,mtsango,mtsango,mtsango,mtsango,1.0
collecte; cotisation; tontine,mtsango,KM -> FR,M,n. fem.,mtsango,mtsango,mtsango,mtsango,1.0
collecter,tsanga (u-),FR -> KM,C,v.,utsanga,utsanga,utsanga,utsanga,1.0
collectionner,shindjia (u-),FR -> KM,C,,,,,,
collectionner ,shindjia (u-),KM -> FR,S,,,,,,
collier,nkami; nkame; sheni; mukufu,FR -> KM,C,n. masc.,nkami,,mukufu,sheni,
collier en fleurs,mwau,FR -> KM,C,n. masc.,mwau,,,,
colline,mlima,FR -> KM,C,n. fem.,mlima,mlima,,mlima,
colonisateur,mtawalifu,FR -> KM,C,n. fem.,mtawalifu,mtawalifu,mtawalifu,mtawalifu,1.0
colonisation,utawalifu,FR -> KM,C,n. fem.,utawalifu,,,,
coloniser,tawalia (u-),FR -> KM,C,v.,utawalia,utawalia,,,
colonne vertébrale,mziwaɗingo; muɓwa mengo,FR -> KM,C,,,,,,
colonne vertébrale ,muɓwa mengo,KM -> FR,M,,,,,,
colonne vertébrale ; rachis,mziwaɗingo,KM -> FR,M,,,,,,
colorier,trisa (u-),FR -> KM,C,,,,,,
colorier ; foncer (garnir) ,trisa (u-),KM -> FR,T,,,,,,
colère,usiu; hamaki; hasira,FR -> KM,C,n. fem.,usiu,hasira,hasira,hasira,
combat,mɓwana,FR -> KM,C,n. masc.,mɓwana,mɓwana,,,
combava,kumvava,FR -> KM,C,n. masc.,,,kumvava,,
combien ?,-ngapvi ?; nga ?,FR -> KM,C,,,,,,
combine,mkarakara,FR -> KM,C,n. fem.,mkarakara,,mkarakara,,
combine; trafic; arrangement; corruption,mkarakara,KM -> FR,M,n. fem.,mkarakara,,mkarakara,,
combler,fitsia (u-),FR -> KM,C,v.,,,ufitsia,,
comblé,kinaya (u-),FR -> KM,C,v.,ukinaya,,,,
comblé; satisfait (être -),kinaya (u-),KM -> FR,K,v.,ukinaya,,,,
comité,shikao,FR -> KM,C,n. masc.,shikao,shikao,shikao,shikao,1.0
commande (produit),agizo,KM -> FR,A,n. fem.,agizo,,,,
commander,tarumu (u-),FR -> KM,C,v.,utarumu,,,,
commander (produit),wagiza (u-),FR -> KM,C,v.,uwagiza,,,,
comme,hama; uri,FR -> KM,C,n. fem. adv.,uri,uri,uri,,
comme ça,djau; jau,FR -> KM,C,loc. adv.,djau,,jau,,
commencement,mwanɗiso; mwanɗoni; mwandroni,FR -> KM,C,n. masc.,mwanɗoni,mwandroni,mwandroni,,
commencer,andrisa (u-),KM -> FR,A,v.,hwanɗisa,hwandrisa,,uhanɗisa,
comment ?,dje ?,FR -> KM,C,,,,,,
commentaires,matalazuzi,FR -> KM,C,n.,matalazuzi,,,,
commerçant,mɓahazazi,FR -> KM,C,n. masc.,mɓahazazi,mɓahazazi,mɓahazazi,mɓahazazi,1.0
commissionnement,mrumo,FR -> KM,C,n. masc.,mrumo,mrumo,mrumo,mrumo,1.0
commissionner,ruma (u-),FR -> KM,C,v.,uruma,uruma,uruma,uruma,1.0
commissionner; employer (quelqu'un),ruma (u-),KM -> FR,R,v.,uruma,uruma,uruma,uruma,1.0
communauté,umati; wanantsi,FR -> KM,C,n. masc.,umati,wanantsi,umati,masc.,1.0
commémoration,hauli,FR -> KM,C,n. fem.,hauli,,,,
commémorer,sherehi (u-),FR -> KM,C,v.,usherehi,,usherehi,,
commérage,fitina,FR -> KM,C,n. masc.,fitina,fitina,fitina,fitina,1.0
Comores,Komori,FR -> KM,C,n. prop.,Komori,Komori,Komori,Komori,1.0
comorien,shiKomori; mKomori; shimasiwa,FR -> KM,C,n. masc. adj.,shimasiwa,shimasiwa,shimasiwa,shimasiwa,1.0
compagnie,mamlaka,FR -> KM,C,n. fem.,,,mamlaka,,
comparaison,mfaniso; ufanisao,FR -> KM,C,n. fem.,mfaniso,mfaniso,mfaniso,mfaniso,1.0
comparer,fanisa (u-),FR -> KM,C,v.,ufanisa,ufanisa,ufanisa,ufanisa,1.0
compassion,rehema,FR -> KM,C,n. fem.,rehema,rehema,rehema,rehema,1.0
complet,kamili,FR -> KM,C,adj. n. masc.,kamili,kamili,kamili,kamili,1.0
complet (être -),timu (u-); tsimu (u-),FR -> KM,C,v.,utimu,utsimu,utsimu,,
complexe (devenir très -),pvara (u-),FR -> KM,C,v.,upvara,,,,
complication,muhima; mambo,FR -> KM,C,n. fem.,muhima,,mambo,,
compliquer (qqch),pvatsa (u-),FR -> KM,C,v.,upvatsa,,,,
Complot,makri,FR -> KM,C,,,,,,
complètement,kaɓisa,FR -> KM,C,adv.,kaɓisa,kaɓisa,kaɓisa,kaɓisa,1.0
comportement,twaɓia; taɓia,FR -> KM,C,n. masc.,twaɓia,twaɓia,taɓia,,
composer (poésie),pvanga (u-),FR -> KM,C,v.,upvanga,,,,
composition,mpango; mupango,FR -> KM,C,n. fem.,mpango,mpango,mpango,mpango,1.0
comprendre,elewa (u-); ɗiriki (u-),FR -> KM,C,v.,hwelewa,hwelewa,hwelewa,hwelewa,1.0
compresser,samiza (u-),FR -> KM,C,v.,usamiza,,,,
"compresser, enfoncer, serrer",samidza (u-),FR -> KM,C,v.,,,usamidza,,
compresser; serrer,samiza (u-),KM -> FR,S,v.,usamiza,,,,
compréhensif,mwelevu,FR -> KM,C,adj.,mwelevu,mwelevu,mwelevu,mwelevu,1.0
comptage,mwazo,FR -> KM,C,n. masc.,mwazo,,,,
comptage; recensement,mwazo,KM -> FR,M,n. masc.,mwazo,,,,
compte,hisaɓu; hasiɓu,FR -> KM,C,n. masc.,hisaɓu,,hisaɓu,,
compte; calcul,hisaɓu,KM -> FR,H,n. masc.,hisaɓu,,hisaɓu,,
compter,waza (u-); hasiɓu (u-),FR -> KM,C,v.,uwaza,,uhasiɓu,uhasiɓu,
compter; calculer,hasiɓu (u-),KM -> FR,H,v.,uwaza,,uhasiɓu,uhasiɓu,
compétence,uhodari,FR -> KM,C,n. fem.,uhodari,uhodari,uhodari,,
compétent (pers.),mhodari,FR -> KM,C,n. masc.,mhodari,mhodari,mhodari,,
compétition,mashindrano; mashinɗano,FR -> KM,C,n. fem.,mashinɗano,,mashindrano,,
concassage,mfuo,FR -> KM,C,n. masc.,mfuo,mfuo,mfuo,mfuo,1.0
concasser,fua (u-),FR -> KM,C,v.,ufua,ufua,ufua,ufua,1.0
concentrer,faliki (u-),FR -> KM,C,v.,ufaliki,,,,
concentrer; cibler,faliki (u-),KM -> FR,F,v.,ufaliki,,,,
concerner,pasa (u-); husu (u-),FR -> KM,C,v.,upasa,,upasa,,
conclure,maliza (u-),FR -> KM,C,v.,umaliza,,,umaliza,
conclure; terminer,maliza (u-),KM -> FR,M,v.,umaliza,,,umaliza,
concombre,kokombr,FR -> KM,C,n. masc.,,,,kokombr,
condamnation,haɗi,FR -> KM,C,n. fem.,haɗi,,,,
condamner,haɗi (u-),FR -> KM,C,v.,uhaɗi,,,,
condition,shartwi; sharuti,FR -> KM,C,n. fem.,shartwi,shartwi,sharuti,,
conduire,ɓalia (u-); enɗesa (u-); pvinga (u-); endresa (u-),FR -> KM,C,v.,hwenɗesa,,hwendresa,upvinga,
confiance,uaminifu,FR -> KM,C,n. fem.,uaminifu,uaminifu,uaminifu,uaminifu,1.0
confiance (faire -),twamaya (u-); tama (u-),FR -> KM,C,v.,utwamaya,utama,utama,utama,
confidance,shiwara,FR -> KM,C,n. fem.,shiwara,,shiwara,,
confier (qqch),stakaɓadhisha (u-),FR -> KM,C,v.,ustakaɓadhisha,,,,
"confier, envoyer un message, faire dire à",lagidza (u-),FR -> KM,C,v.,,ulagidza,ulagidza,,
confondre,rehanya (u-); hizi (u-),FR -> KM,C,v.,urehanya,,uhizi,,
confrérie,twarika,FR -> KM,C,n. fem.,,twarika,,,
confus (être -),ɓaɓaiha (u-),FR -> KM,C,v.,uɓaɓaiha,,,,
confusion,shaɗaha; ɓalɓala,FR -> KM,C,n. fem.,shaɗaha,,,ɓalɓala,
conférence,kungumanyo,FR -> KM,C,n. fem.,kungumanyo,kungumanyo,,,
congratuler,fereshea (u-),FR -> KM,C,v.,ufereshea,ufereshea,ufereshea,ufereshea,1.0
connaissances,maârifa,FR -> KM,C,n. fem.,maârifa,,,,
connaissances; information,maârifa,KM -> FR,M,n. fem.,maârifa,,,,
connaître,djua (u-); jua (u-),FR -> KM,C,v.,udjua,ujua,ujua,udjua,
connaître; savoir,djua (u-),KM -> FR,D,v.,udjua,ujua,ujua,udjua,
conque,kome,FR -> KM,C,n. fem.,kome,,,,
consacrer,djishuhulisha (u-),FR -> KM,C,v. tra.,udjishuhulisha,,,,
conscience,hisi,FR -> KM,C,n. fem.,hisi,,,,
conscient (être -),hisi (u-),FR -> KM,C,v.,uhisi,,,,
conscient (être -); sentir,hisi (u-),KM -> FR,H,v.,uhisi,,,,
conseil,shawiri; mawaidha; waswiya,FR -> KM,C,n. masc.,waswiya,waswiya,waswiya,,
"conseil, recommandation",wasia,FR -> KM,C,n.,,,wasia,,
conseiller,mra-ndrazi,FR -> KM,C,adj.,mra-ndrazi,,,,
constater,tanaɓahi (u-),FR -> KM,C,v.,utanaɓahi,,utanaɓahi,,
constipation,nkoma,FR -> KM,C,,,,,,
constipation ,nkoma,KM -> FR,N,,,,,,
construction,bunɗo,KM -> FR,B,n. fem.,bunɗo,,,bunɗo,
construire,unda (u-); undra (u-),FR -> KM,C,v.,uunda,uundra,uundra,,
construire (case),waha (u-),FR -> KM,C,v.,uwaha,,uwaha,uwaha,
construire; bâtir,unda (u-),KM -> FR,U,v.,uunda,uundra,uundra,,
contaminer,tupidza (u-); tupia (u-),FR -> KM,C,v.,,,utupidza,,
conte,hale,FR -> KM,C,n. masc.,hale,hale,hale,hale,1.0
conte; longtemps (il y a -); jadis,hale,KM -> FR,H,n. masc.,hale,hale,hale,hale,1.0
conteneur,ciranka,FR -> KM,C,n. masc.,ciranka,,,,
conteneur; malle,ciranka,KM -> FR,C,n. masc.,ciranka,,,,
content (être -),djipviwa (u-); jiviwa (u-),FR -> KM,C,v.,udjipviwa,ujiviwa,ujiviwa,,
content (être -); joyeux (être -); se réjouir ,djipviwa (u-),KM -> FR,D,v.,udjipviwa,ujiviwa,ujiviwa,,
contentement,makura,FR -> KM,C,n. masc.,,,makura,,
contenter,jiva (u-),FR -> KM,C,v.,,ujiva,ujiva,,
continent,ɓara,FR -> KM,C,n. masc.,ɓara,,ɓara,,
continuer,kazana (u-); ɗumu (u-); endrelea (u-),FR -> KM,C,v.,ukazana,hwendrelea,hwendrelea,uɗumu,
contoure,mviringo,FR -> KM,C,n. masc.,mviringo,,,,
contracter,pviala (u-),FR -> KM,C,v.,upviala,,,,
contraction (d'une femme enceinte),nvuna,FR -> KM,C,n. fem.,nvuna,,,,
contradiction,mgongeano,FR -> KM,C,n. fem.,mgongeano,,,,
contraire,kinyume,FR -> KM,C,n. masc.,kinyume,kinyume,kinyume,,
contrarier,tukia (u-),FR -> KM,C,v.,utukia,,utukia,,
contrat,mkataɓa; mukataɓa,FR -> KM,C,n. masc.,mkataɓa,mkataɓa,mukataɓa,,
contrat; promesse; engagement,mukataɓa,KM -> FR,M,n. masc.,mkataɓa,mkataɓa,mukataɓa,,
contrat; traité ; convention; charte,mkataɓa,KM -> FR,M,n. masc.,mkataɓa,mkataɓa,mukataɓa,,
contrebande,magendro,FR -> KM,C,n. masc.,magendro,,,,
contribution,taɓaruku,FR -> KM,C,n. fem.,,,taɓaruku,,
contrôle,utunduzi,FR -> KM,C,n. masc.,utunduzi,utunduzi,utunduzi,utunduzi,1.0
contrôle; surveillance,utunduzi,KM -> FR,U,n. masc.,utunduzi,utunduzi,utunduzi,utunduzi,1.0
contrôler,tunda (u-),FR -> KM,C,v.,utunda,utunda,utunda,utunda,1.0
convenir,fayi (u-),FR -> KM,C,v.,ufayi,,,,
convenir de,wafiki (u-),FR -> KM,C,v.,uwafiki,uwafiki,uwafiki,uwafiki,1.0
convenir; correspondre,fayi (u-),KM -> FR,F,v.,ufayi,,,,
convention,mkataɓa,FR -> KM,C,n. masc.,mkataɓa,mkataɓa,,,
convertir au Christianisme,naswariha (u-),FR -> KM,C,v. tra.,unaswariha,,,,
convier,lalika (u-),FR -> KM,C,v.,ulalika,,ulalika,,
convulsions,zivindro,FR -> KM,C,n.,,,zivindro,,
copie,nakala,FR -> KM,C,n. fem.,nakala,,,,
copie; article de presse,nakala,KM -> FR,N,n. fem.,nakala,,,,
copier,kopea (u-),FR -> KM,C,v.,,ukopea,,,
coq,kuɗume; kukui; kokoi,FR -> KM,C,n. masc.,kuɗume,kukui,kukui,kokoi,
coque (noix de coco),mcele,FR -> KM,C,n. masc.,mcele,,,,
coquillage (cône),nkaure; kombe; kwitsi,FR -> KM,C,n. masc.,nkaure,,kwitsi,kombe,
coquillage (cône); coquille bivalve,kombe,KM -> FR,K,n. masc.,nkaure,,kwitsi,kombe,
coquillage (cône); grain de café (coquillage),nkaure,KM -> FR,N,n. masc.,nkaure,,kwitsi,kombe,
coquille,fururu,FR -> KM,C,n.,,,fururu,,
coquille bivalve,kombe,FR -> KM,C,n. fem.,,,kombe,kombe,
corail,swai; mwamɓa,FR -> KM,C,n. masc.,swai,swai,mwamɓa,,
Coran,Kurän; mswahafu,FR -> KM,C,n. masc.,Kurän,Kurän,Kurän,Kurän,1.0
Coran; papillon,mswahafu,KM -> FR,M,n. masc.,Kurän,Kurän,Kurän,Kurän,1.0
corbeau,gawa; kwai,FR -> KM,C,n. masc.,gawa,kwai,kwai,,
corbeille,kanga; trawa,FR -> KM,C,n. fem.,kanga,trawa,kanga,trawa,
corbeille; pintade,kanga,KM -> FR,K,n. fem.,kanga,trawa,kanga,trawa,
corde,ngwe; pondzi; mbondzi; pwendzi; hamɓa; sheɓuni,FR -> KM,C,n. fem.,ngwe,ngwe,ngwe,ngwe,1.0
corde (grosse -),mkaɓaya,FR -> KM,C,n. fem.,mkaɓaya,,,,
corde d’écorce de cocotier,ɓindro,FR -> KM,C,,,,,,
corde; fil,mbondzi,KM -> FR,M,n. fem.,ngwe,ngwe,ngwe,ngwe,1.0
corde; fil; mèche,pwendzi,KM -> FR,P,n. fem.,ngwe,ngwe,ngwe,ngwe,1.0
cordon ombilical,ndovu,FR -> KM,C,loc. v.,ndovu,ndovu,ndovu,ndovu,1.0
cordonnier,mfuma-nkaɓwa,FR -> KM,C,adj.,mfuma-nkaɓwa,,,,
corne,nyonga,FR -> KM,C,n. fem.,nyonga,nyonga,,,
corossol,konokono; konoko ziba,FR -> KM,C,n. masc.,konokono,konokono,konokono,konokono,1.0
corossolier,mkonokono,FR -> KM,C,n. masc.,mkonokono,,,,
corossolier; attier,mkonokono,KM -> FR,M,n. masc.,mkonokono,,,,
corps,ziungo; mwili,FR -> KM,C,n. masc.,mwili,mwili,mwili,mwili,1.0
corps; membre,ziungo,KM -> FR,Z,n. masc.,mwili,mwili,mwili,mwili,1.0
correct,ki-haki,FR -> KM,C,adj.,ki-haki,,,,
correspondre,fayi (u-),FR -> KM,C,v.,ufayi,,,,
corriger,rekeɓesha (u-); ondra (u-),FR -> KM,C,v.,urekeɓesha,,uondra,,
corriger; punir,ondra (u-),KM -> FR,O,v.,urekeɓesha,,uondra,,
corruption,uɓadhilifu; mkarakara,FR -> KM,C,n. fem.,uɓadhilifu,,mkarakara,,
cortège,sindzo,FR -> KM,C,n. masc.,sindzo,,,,
cortège; attroupement,sindzo,KM -> FR,S,n. masc.,sindzo,,,,
corvée,usimɓufu,FR -> KM,C,n. fem.,usimɓufu,,,,
costume,kosti,FR -> KM,C,n. masc.,,,kosti,,
costume; veste; veston,kosti,KM -> FR,K,n. masc.,,,kosti,,
cotisation,mtsango,FR -> KM,C,n. fem.,mtsango,mtsango,mtsango,mtsango,1.0
cotiser,tsanga (u-),FR -> KM,C,v.,utsanga,utsanga,utsanga,utsanga,1.0
cotiser; collecter,tsanga (u-),KM -> FR,T,v.,utsanga,utsanga,utsanga,utsanga,1.0
coton,upvamɓa,FR -> KM,C,n. masc.,upvamɓa,upvamɓa,,,
cotonnade à fleurs,patri,FR -> KM,C,n. masc. loc.,,,patri,,
cou,ntsingo; tsingo,FR -> KM,C,n. masc.,ntsingo,,tsingo,ntsingo,
coucher,lala (u-),FR -> KM,C,v. tra.,ulala,ulala,ulala,ulala,1.0
"coucher (soleil, lune)",tswa (hu-),FR -> KM,C,v. tra.,hutswa,hutswa,hutswa,,
"coucher (soleil, lune); disparaître",tswa (hu-),KM -> FR,T,v. tra.,hutswa,hutswa,hutswa,,
coucher qq'un,ladza (u-),FR -> KM,C,v.,,uladza,uladza,,
coucher; étendre; allonger,lala (u-),KM -> FR,L,v. tra.,ulala,ulala,ulala,ulala,1.0
coude,ivuhu; ntsundzuni; tsundzuni,FR -> KM,C,n. masc.,ivuhu,ntsundzuni,tsundzuni,,
coudre,sonya (u-); sona (u-); shona (u-),FR -> KM,C,v.,usonya,usona,usona,,
couler,rora (u-); triha (u-),FR -> KM,C,v.,utriha,utriha,,,
couleur,range,FR -> KM,C,n. fem.,range,range,range,range,1.0
coup d'Etat,ufwakuzi,FR -> KM,C,loc. n. masc.,ufwakuzi,,,,
coup de pied,nɗaru,FR -> KM,C,n. masc.,nɗaru,,,,
coup sur la tête avec l'extrémité des phalanges,nkwala; pwala,FR -> KM,C,loc.,pwala,,,,
coupe,kopwa,FR -> KM,C,n. fem.,kopwa,,,,
coupe-coupe,kononɗe,FR -> KM,C,n. masc.,kononɗe,,,,
coupe-coupe; machette; aloe vera,kononɗe,KM -> FR,K,n. masc.,kononɗe,,,,
couper,pasua (u-); tsindza (u-); ungua (u-); katra (u-); kutrua (u-),FR -> KM,C,v.,upasua,upasua,upasua,upasua,1.0
couper (une corde),ruɓua (u-),FR -> KM,C,v.,uruɓua,,,,
couper (une corde); rompre,ruɓua (u-),KM -> FR,R,v.,uruɓua,,,,
couper; tailler; trancher,katra (u-),KM -> FR,K,v.,upasua,upasua,upasua,upasua,1.0
coupure,mkatro,FR -> KM,C,n. fem.,,mkatro,,,
cour,lakuru,FR -> KM,C,n. fem.,,lakuru,lakuru,,
cour (maison),uwandza; kura,FR -> KM,C,n. fem.,uwandza,,,,
courage,udjasiri; ɓari,FR -> KM,C,n. masc.,udjasiri,,ɓari,,
courageux,sudjaâ; mdjasiri; mushudjaha; msuɓuti; shudjaî,FR -> KM,C,adj. subst.,sudjaâ,,shudjaî,,
courageux; audacieux,sudjaâ,KM -> FR,S,adj. subst.,sudjaâ,,shudjaî,,
courageux; brave,shudjaî,KM -> FR,S,adj. subst.,sudjaâ,,shudjaî,,
coureur de jupon,musindzi,FR -> KM,C,loc.,,,,musindzi,
courir,ra mɓio (hu-); rema mbio (u-),FR -> KM,C,v.,mɓio,,mbio,,
cours,darasa,FR -> KM,C,n. fem.,darasa,darasa,darasa,darasa,1.0
course (à pied),mɓiyo,FR -> KM,C,n. fem.,mɓiyo,mɓiyo,mɓiyo,mɓiyo,1.0
court,mkutri; -kutri,FR -> KM,C,adj. adv.,,,mkutri,,
cousin(e),mshe-mwananya,FR -> KM,C,subst.,,mshe-mwananya,,,
coussin,mtao,FR -> KM,C,n. masc.,mtao,,,mtao,
coussinet (de tête),nkarwa; kara,FR -> KM,C,n. masc.,nkarwa,kara,kara,,
couteau,shononɗe; sembea,FR -> KM,C,n. masc.,shononɗe,,sembea,sembea,
coutume,âɗa; kitaɓi; kataɓi,FR -> KM,C,n. fem.,âɗa,âɗa,kitaɓi,,
coutume; mariage (grand -),âɗa,KM -> FR,A,n. fem.,âɗa,âɗa,kitaɓi,,
coutume; tradition,kataɓi,KM -> FR,K,n. fem.,âɗa,âɗa,kitaɓi,,
couture,msonyo; masono,FR -> KM,C,n. fem.,msonyo,,masono,,
couver,aria (u-),KM -> FR,A,v.,uwaria,hwaria,,,
couvercle,ifiniho; shifinikio; shifininkio,FR -> KM,C,n. masc.,ifiniho,shifininkio,shifinikio,,
couvercle de marmite,traku,FR -> KM,C,n. masc.,,,traku,,
couverture,pambo,FR -> KM,C,n. fem.,pambo,,,,
couverture; enveloppe (en général),pambo,KM -> FR,P,n. fem.,pambo,,,,
couvrir,pvamɓa (u-); pvishia (u-); finiha (u-); finikia (u-); fininkia (u-),FR -> KM,C,v.,upvishia,ufininkia,upvishia,,
couvrir; envelopper,finiha (u-),KM -> FR,F,v.,upvishia,ufininkia,upvishia,,
coïncider,wafikiana (u-),FR -> KM,C,v.,uwafikiana,,uwafikiana,,
coïncider; s'accorder (moralement),wafikiana (u-),KM -> FR,W,v.,uwafikiana,,uwafikiana,,
coût,gharama,FR -> KM,C,n. masc.,gharama,,,,
coûter,fa (hu-),FR -> KM,C,v.,hufa,hufa,hufa,hufa,1.0
coûteux,ghali,FR -> KM,C,adj.,ghali,ghali,ghali,ghali,1.0
crabe,djandze; ikale; ganka; dradraka; kalafuba; ntsandza; kala,FR -> KM,C,n. masc.,ikale,ganka,ntsandza,ntsandza,
crachat,kanguzi,FR -> KM,C,n. masc.,kanguzi,,,,
crachat glaireux,ɗoho,FR -> KM,C,n. masc.,,,ɗoho,,
cracher,tra (u-) mare,FR -> KM,C,v.,mare,,,,
craie,lakre,FR -> KM,C,n. fem.,lakre,,,lakre,
craindre,ria (u-),FR -> KM,C,v.,uria,uria,uria,uria,1.0
craindre; avoir peur de,ria (u-),KM -> FR,R,v.,uria,uria,uria,uria,1.0
crainte,harara,FR -> KM,C,n. fem.,harara,,harara,harara,
crainte; angoisse,harara,KM -> FR,H,n. fem.,harara,,harara,harara,
craintif,mshangavu,FR -> KM,C,adj.,mshangavu,,,,
craintif; peureux,mshangavu,KM -> FR,M,adj.,mshangavu,,,,
crasse,ɓidza; ushi,FR -> KM,C,n. fem.,ushi,ɓidza,,,
cratère,shungu,FR -> KM,C,n. masc.,shungu,,,,
crayon,kalamu; pinsili,FR -> KM,C,n. masc.,kalamu,kalamu,kalamu,kalamu,1.0
crayon; stylo,kalamu,KM -> FR,K,n. masc.,kalamu,kalamu,kalamu,kalamu,1.0
creuser,unɗua (u-); tsimɓa (u-); fuhua (u-),FR -> KM,C,v.,utsimɓa,utsimɓa,utsimɓa,utsimɓa,1.0
