key_fr,key_km,scrap_mode,scrap_letter
crasse,ɓidza; ushi,FR -> KM,C
cratère,shungu,FR -> KM,C
crayon,kalamu; pinsili,FR -> KM,C
crayon; stylo,kalamu,KM -> FR,K
creuser,unɗua (u-); tsimɓa (u-); fuhua (u-),FR -> KM,C
creuser; fouiller,unɗua (u-),KM -> FR,U
creux,nkoroɓwa; goho,FR -> KM,C
crever,fusa (u-),FR -> KM,C
crever (qqch),foroa (u-); fuha (u-),FR -> KM,C
crever (qqch); trouer,foroa (u-),KM -> FR,F
crevette,kamba,FR -> KM,C
cri,nkeme; kio; keme,FR -> KM,C
cri; oreille; anse,kio,KM -> FR,K
crie (strident),urasi,FR -> KM,C
crier,ra kio (hu-),FR -> KM,C
criminel,muuadji,FR -> KM,C
criminel; tueur,muuadji,KM -> FR,M
criquet,pandzi; ɗatra; furidji,FR -> KM,C
criquet; sauterelle; sauvage,pandzi,KM -> FR,P
critique,shilidzo,FR -> KM,C
critique; insulte,shilidzo,KM -> FR,S
crochet,sheho; muganyo,FR -> KM,C
crocodile,vwai,FR -> KM,C
croire,amini (u-),KM -> FR,A
croire fort,djikaza (u-),FR -> KM,C
croisement,mpvitsano,FR -> KM,C
croiser,pvitsana (u-),FR -> KM,C
croisée des chemins,ziraru,FR -> KM,C
croisée des chemins; intersection; carrefour,ziraru,KM -> FR,Z
croix (Christianisme),mswalaɓa,FR -> KM,C
croquable (être -),vuruha (u-),FR -> KM,C
croquer,trafunya (u-); rafuna (u-),FR -> KM,C
crottes de nez,maɗoɗo; maɗoo,FR -> KM,C
crottes de nez; rhinorrhée,maɗoɗo,KM -> FR,M
croûte,koho,FR -> KM,C
croûte (sur la peau),ɓanguzi,FR -> KM,C
croûte de riz,pangu,FR -> KM,C
cru,-itsi,FR -> KM,C
cruche,kopwa,FR -> KM,C
crâne,ɗahaha; ɗaha,FR -> KM,C
création,bumbo,KM -> FR,B
créature,shiumɓe,FR -> KM,C
créditer,iya (u-); para (u-),FR -> KM,C
créditer; devoir de l'argent,iya (u-),KM -> FR,I
créer,trunga (u-),FR -> KM,C
créer (en parlant de Dieu),umɓa (u-),FR -> KM,C
créer; inventer,trunga (u-),KM -> FR,T
créole,kurweli; kurueli,FR -> KM,C
crépu,nkitsiri,FR -> KM,C
crépuscule,mahariɓi,FR -> KM,C
crêpe,nkaki; kaki; mkatre wa madji,FR -> KM,C
crêpe au lait de coco,fenenetsi,FR -> KM,C
crête,dzundzu; jendzi,FR -> KM,C
cuillère,mkoɓe; sutru; shutru; sadru,FR -> KM,C
cuillère; louche,sadru,KM -> FR,S
cuillère; truelle,sutru,KM -> FR,S
cuisine,paya,FR -> KM,C
cuisine (dans la -),pani,FR -> KM,C
cuisine (manière de cuisiner),upisi,FR -> KM,C
cuisine (pièce),pa,FR -> KM,C
cuisine; abri,paya,KM -> FR,P
cuisiner,piha (u-),FR -> KM,C
cuisiner (pour qqun),pishia (u-),FR -> KM,C
cuisiner; faire la cuisine,piha (u-),KM -> FR,P
cuisinier,mpisi; mupihizi,FR -> KM,C
cuisse,padja; paja,FR -> KM,C
cuisse de poulet,mshia,FR -> KM,C
cuit (être -),iva (u-),FR -> KM,C
cuivre,shaɓa,FR -> KM,C
cul,ndzu,FR -> KM,C
culot,nkalizi; maswa,FR -> KM,C
culte (islamique),iɓaɗa,FR -> KM,C
cultivateur,mlimadji; mlimizi; mlimaji; mulimizi,FR -> KM,C
cultiver (en parlant d'être vivant),âkilisha (u-),KM -> FR,A
cultiver (traiter le sol),lima (u-),FR -> KM,C
cultivé (pers.),mstaâraɓu,FR -> KM,C
cultivé (pers.); érudit,mstaâraɓu,KM -> FR,M
culture,utamaɗuni; mila,FR -> KM,C
culture; tradition,mila,KM -> FR,M
cumin,hawadji,FR -> KM,C
curcuma,dzindzanu,FR -> KM,C
curcuma; jaune,dzindzanu,KM -> FR,D
curer (les dents),cenyua (u-),FR -> KM,C
curer (les dents) ,cenyua (u-),KM -> FR,C
curieux,mtundi,FR -> KM,C
curieux; observateur; veilleur,mtundi,KM -> FR,M
cuvette,kuveti,FR -> KM,C
cyclone,dharuɓa,FR -> KM,C
cymbale,twaza; upatsu,FR -> KM,C
cymbale; plateau (balance),upatsu,KM -> FR,U
câble,gwe,FR -> KM,C
câble; file,gwe,KM -> FR,G
cécité,ufumatso,FR -> KM,C
cécité ,ufumatso,KM -> FR,U
célibat,utsumba,FR -> KM,C
célibataire,mtsumba; mutsumba,FR -> KM,C
célèbre,mdjulihaniha,FR -> KM,C
célèbre (gén.),mashuhuri,FR -> KM,C
célébration,shughuli,FR -> KM,C
célébration; festivité,shughuli,KM -> FR,S
cérumen,madzi yashishioni,FR -> KM,C
cérémonie,hadhwara,FR -> KM,C
côte,mbafu,FR -> KM,C
côte.,mbafu,KM -> FR,M
côté,upanɗe; ɓavu; uwayi; upvandre; mbavu,FR -> KM,C
côté; versant,upanɗe,KM -> FR,U
cœlacanthe,gombesa; gubera,FR -> KM,C
cœur,roho; moyo; mo; muwo; muyo,FR -> KM,C
cœur (carte),kopa,FR -> KM,C
cœur (fig.),nafusi,FR -> KM,C
cœur (par -),vingu,FR -> KM,C
cœur (par -); nuage,vingu,KM -> FR,V
d'abord,randzi; rangu; rabuzi,FR -> KM,D
d'abord; depuis,randzi,KM -> FR,R
dame,ɓiɓi,FR -> KM,D
damner,laani (u-),FR -> KM,D
damner; exclure; maudire,laani (u-),KM -> FR,L
danger,khatwari; hatwari; mambo,FR -> KM,D
dangereux,-a khatwari,KM -> FR,A
dans,moni; harimwa,FR -> KM,D
dans l'accident,adjalini,KM -> FR,A
dans l'au-delà,akhirani,KM -> FR,A
dans l'économie,âkiɓani,KM -> FR,A
dans; au milieu de,harimwa,KM -> FR,H
danse,mzino,FR -> KM,D
danse traditionnelle (danser par les pêcheurs à leurs retours),ɓiyaya,FR -> KM,D
danse traditionnelle avec des pilons,wadaha,FR -> KM,D
"danse, fait de danser",muzino,FR -> KM,D
danser,zina (u-),FR -> KM,D
dard (abeille),nvuna,FR -> KM,D
dard (abeille); contraction (d'une femme enceinte),nvuna,KM -> FR,N
date,tarehe,FR -> KM,D
datte,ntreɗe; ntrendre; trendre,FR -> KM,D
dauphin,fumɓa-nɗudju; fumba-ndruju,FR -> KM,D
daurade,pandje,FR -> KM,D
davantage,raha; zaiɗi,FR -> KM,D
de,-a,FR -> KM,D
de façon,ha,FR -> KM,D
de l'avant,usoni,FR -> KM,D
de manière,ha,FR -> KM,D
de même taille/âge (que),ɓani (+ connectif),FR -> KM,D
de plus,iruɗi,FR -> KM,D
de plus; et puis,iruɗi,KM -> FR,I
de qualité,-a uɓora,FR -> KM,D
de toute manière,allakulihali,KM -> FR,A
debout,mɓwiɓwi,FR -> KM,D
dedain,kiɓuri,FR -> KM,D
dedain; arrogance; fierté (caractère),kiɓuri,KM -> FR,K
dedans,moni,FR -> KM,D
dedans; dans; à l'intérieur,moni,KM -> FR,M
defloration,matsamidzo,FR -> KM,D
degré,daradja,FR -> KM,D
degré; pont; niveau,daradja,KM -> FR,D
dehors,pvondze; mondze; mwendze,FR -> KM,D
dehors; extérieur,pvondze,KM -> FR,P
dehors; à l’extérieur,mondze,KM -> FR,M
delicieux,na ladha; na tamu,FR -> KM,D
demain,mauɗu; meso,FR -> KM,D
demande en mariage,poso; trumidzo,FR -> KM,D
demander,uzisa (u-); udzisa (u-); dzisa (u-),FR -> KM,D
demander en mariage,posa (u-),FR -> KM,D
demenager,hama (u-),FR -> KM,D
demenager; extraire (liquide); traire,hama (u-),KM -> FR,H
demeure,makao,FR -> KM,D
demi,nusu,FR -> KM,D
demi; moitié,nusu,KM -> FR,N
dengue (maladie),kotri,FR -> KM,D
dent,dinyo; dzinyo,FR -> KM,D
dent cassée,pule,FR -> KM,D
dents du bonheur,fulamdji,FR -> KM,D
depuis,raili; randzi; rangu; nyangu,FR -> KM,D
depuis; d'abord,rangu,KM -> FR,R
dernier,dodonye,FR -> KM,D
dernière pierre de la tombe,ntsaho,FR -> KM,D
derrière,nyuma; mengoni,FR -> KM,D
derrière; après,nyuma,KM -> FR,N
descendre,siha (u-); shuka (u-),FR -> KM,D
descendre (faire -),shukidza (u-),FR -> KM,D
descendre; saisir; tenir,siha (u-),KM -> FR,S
description,swifa,FR -> KM,D
desirer,tamani (u-),FR -> KM,D
dessin,sinamu; komba,FR -> KM,D
dessin animé,pifu; matoktok,FR -> KM,D
dessin; maki; masque de beauté (au bois de santal); lémurien,komba,KM -> FR,K
dessin; statue,sinamu,KM -> FR,S
dessous,ntsini,FR -> KM,D
dessous-de-table,ɓahashishi,FR -> KM,D
dessous; sous,ntsini,KM -> FR,N
dessoûler,leuha (u-),FR -> KM,D
dessus,pvodjuu; uju,FR -> KM,D
destin,dasturi; kudurwa,FR -> KM,D
destiner,kusuɗia (u-),FR -> KM,D
destiné (être -),umɓiwa (u-),FR -> KM,D
destinée,nyora,FR -> KM,D
dette,ɗene; ɗeni,FR -> KM,D
deuil,iɗa,FR -> KM,D
deuil; période de viduité,iɗa,KM -> FR,I
deux,mbili,FR -> KM,D
deux (dénombrables),-ili,FR -> KM,D
deux cents,madjana maili,FR -> KM,D
deux mille,zihwi zili,FR -> KM,D
deuxième,-a pvili,KM -> FR,A
devancer,trenɗe (u-); kadimia (u-); trenɗea (u-),FR -> KM,D
devancer; avancer,trenɗe (u-),KM -> FR,T
devant,usoni; mbeli,FR -> KM,D
devant; en face de,mbeli,KM -> FR,M
devenir,renɗeha (u-),FR -> KM,D
devin,mwalimu,FR -> KM,D
devinette,ndzinyo,FR -> KM,D
devise,msimu,FR -> KM,D
devoir,lazimu (u-),FR -> KM,D
devoir de l'argent,iya (u-),FR -> KM,D
diable,Shetwani,FR -> KM,D
diable; Satan,Shetwani,KM -> FR,S
dialect,lugha,FR -> KM,D
dialect; langue,lugha,KM -> FR,L
diamant,almasi,KM -> FR,A
diastème,fulamdji,FR -> KM,D
diastème; dents du bonheur ,fulamdji,KM -> FR,F
dictionnaire,kamusi,FR -> KM,D
dicton,urongozi,FR -> KM,D
Dieu,Mnyezi Mngu; Mungu; Mwenyezi Mungu; Mola,FR -> KM,D
Dieu tout puissant,Mnyezi Mngu; Mwenyezi Mungu,FR -> KM,D
Dieu tout puissant; Dieu,Mnyezi Mngu,KM -> FR,M
difficile,ndziro,FR -> KM,D
"difficile, grave (maladie), proche de la mort",mahututi,KM -> FR,M
difficulté,mambo,FR -> KM,D
difficulté (physique),shiɗa,FR -> KM,D
diffuser,shaîshi (u-),FR -> KM,D
diffusion,tangazo,FR -> KM,D
différence,tafauti,FR -> KM,D
différencier,tafautisha (u-),FR -> KM,D
différend,umavu mwelewano,FR -> KM,D
différent,tafauti,FR -> KM,D
différent; différence,tafauti,KM -> FR,T
dimanche,mfumbili; mufumovili; mfumopvili,FR -> KM,D
dimension,upezo,FR -> KM,D
dimension; étendue; ampleur,upezo,KM -> FR,U
diminuer,pvunguza (u-); vungua (u-); vungudza (u-); pvugua (u-),FR -> KM,D
diminuer (être-),vunguha (u-); pvuguha (u-),FR -> KM,D
diminuer (être-); réduire (se -),pvuguha (u-),KM -> FR,P
diminution,mpvunguzo,FR -> KM,D
dinde,kulukulu,FR -> KM,D
dingue,mdjufumuwo; cuyi,FR -> KM,D
dingue; débile; idiot,cuyi,KM -> FR,C
dingue; fou,mdjufumuwo,KM -> FR,M
dire,amɓa (u-),KM -> FR,A
dire au revoir,laha (u-); laga (u-),FR -> KM,D
dire au revoir; prévenir,laha (u-),KM -> FR,L
dire à,amɓia (u-),FR -> KM,D
dire à ,amɓia (u-),KM -> FR,A
direction,dira,FR -> KM,D
direction de la Mecque,Kibla,FR -> KM,D
dirigeant,mkizi-mbeli,FR -> KM,D
dirigeant (haut),dhwamana muhu,FR -> KM,D
diriger,tarumu (u-),FR -> KM,D
diriger vers,kaɓili (u-); lekedza (u-),FR -> KM,D
diriger; commander,tarumu (u-),KM -> FR,T
discerner,maizi (u-),FR -> KM,D
discours,hutuɓa,FR -> KM,D
discours; prêche,hutuɓa,KM -> FR,H
discréditer,sidjini (u-),FR -> KM,D
discréditer; souiller; salir,sidjini (u-),KM -> FR,S
discrétion,usitirifu,FR -> KM,D
discussion (débat),madjaɗiliano,FR -> KM,D
discuter,haɗisi (u-),FR -> KM,D
disparaître,tswa (hu-); fotsoha (u-),FR -> KM,D
disparaître (mourir),fariki (u-),FR -> KM,D
disparaître (mourir); décéder,fariki (u-),KM -> FR,F
disperser,tsamɓadza (u-),FR -> KM,D
disperser (se -),tsamɓalia (u-); samɓalia (u-),FR -> KM,D
disponibilité,nafasi,FR -> KM,D
dispute,umani,FR -> KM,D
dispute; querelle,umani,KM -> FR,U
disputer (se -),mana (u-); shindrana (u-); shinɗana (u-),FR -> KM,D
dissimuler,ɓwandaya (u-); sitiri (u-),FR -> KM,D
dissolution,mlaluho,FR -> KM,D
dissuasion,itriso,FR -> KM,D
dissuasion; laideur,itriso,KM -> FR,I
distance,male,FR -> KM,D
distinguer,shuhuɗia (u-),FR -> KM,D
distraire,angaza (u-); angadza (u-),FR -> KM,D
distribuer de la nourriture,eleha (u-),FR -> KM,D
distributeur (pers.),mhanɗazi,FR -> KM,D
divaguer,vambaja (u-),FR -> KM,D
divination (faire de la -),rema fali (u-),FR -> KM,D
diviser,kasimu (u-); santsua (u-); wanisa (u-),FR -> KM,D
divorce,twalaka,FR -> KM,D
divorcer,funguliwa (u-),FR -> KM,D
divorcer (homme),twalaki (u-),FR -> KM,D
divorcer; être répudiée; libéré (être -),funguliwa (u-),KM -> FR,F
dix,kume; kumi,FR -> KM,D
dix huit,kume na nane; kumi na nane,FR -> KM,D
dix neuf,kume na shenɗa; kumi na shenɗa,FR -> KM,D
dix sept,kume na nfukare; kumi na saɓa,FR -> KM,D
dix; droite; droit (côté),kume,KM -> FR,K
djellaba,nkandzu,FR -> KM,D
Djibouti,Djiɓuti,FR -> KM,D
docile,mwekevu,FR -> KM,D
docker,bardera,KM -> FR,B
docteur,twaɓiɓu; duktera,FR -> KM,D
docteur; médecin,twaɓiɓu,KM -> FR,T
document,mdjaraɗa,FR -> KM,D
doigt,sha; shaya,FR -> KM,D
doigts de la main,maya,FR -> KM,D
domaine de souveraineté,amri; amru,FR -> KM,D
domaine de souveraineté; ordre,amru,KM -> FR,A
domestique,mrumwa; mdjahazi; boi; mdjakazi,FR -> KM,D
domestique; serviteur,boi,KM -> FR,B
domicile,kazi,FR -> KM,D
domicile; résidence,kazi,KM -> FR,K
dommage,madhwara,FR -> KM,D
don,hiɗaya; sadaka; tasadaki,FR -> KM,D
don; donation; cadeau,hiɗaya,KM -> FR,H
donation,hiɗaya; mpvo,FR -> KM,D
donation; brûlure,mpvo,KM -> FR,M
donc,lazima,FR -> KM,D
donner,nika (u-); pva (hu-); va (hu-),FR -> KM,D
donner (fessée),capa (u-),KM -> FR,C
donner (se -),djihupvia (u-),FR -> KM,D
donner l'alarme,nadi (u-),FR -> KM,D
donner la nausée,ɗuɗusa muo (u-),FR -> KM,D
donner naissance,dzaya (u-),FR -> KM,D
donner un coup de main,unga (u-) muhono,FR -> KM,D
donner un coup de main; rendre service,unga (u-) muhono,KM -> FR,U
donner une promesse,nika miâdi (u-),FR -> KM,D
dont,ikao,FR -> KM,D
dorade coryphène,mbasi maranga,FR -> KM,D
dorloter,tutuɓia (u-),FR -> KM,D
dorloter; entretenir; gâter; prendre soin,tutuɓia (u-),KM -> FR,T
dormir,siuha (u-); kuha (u-); sindzia (u-),FR -> KM,D
dos,ɗingo; mengo,FR -> KM,D
dot,mahari,FR -> KM,D
dot; douaire,mahari,KM -> FR,M
douaire,mahari,FR -> KM,D
double,patra; patsa,FR -> KM,D
doublure,ɓitana,FR -> KM,D
doucement,ha mbapvi; volevole,FR -> KM,D
doucher,yela (u-),FR -> KM,D
doucher; laver,yela (u-),KM -> FR,Y
douleur,ndroso,FR -> KM,D
doute,taradudi,FR -> KM,D
doux,laini,FR -> KM,D
doux; lisse,laini,KM -> FR,L
douze,kume na mbili; kumi na mɓili,FR -> KM,D
draguer,trongoza (u-),FR -> KM,D
"dragueur, libertin",muzinzi,FR -> KM,D
drame,kafa,FR -> KM,D
drap,ɗara,FR -> KM,D
drapeau,ɓeramu,FR -> KM,D
dressage,mhimiso,FR -> KM,D
dressement,mdjuho,FR -> KM,D
dresser,nyongoa (u-),FR -> KM,D
dresser  (se -),hima (u-),FR -> KM,D
dresser  (se -); lever (se -); attendre,hima (u-),KM -> FR,H
dresser (se -),nyongoha (u-); omboha (u-); ondzoha (u-),FR -> KM,D
droit,haki,FR -> KM,D
droit (côté),kume,FR -> KM,D
droit; justice,haki,KM -> FR,H
droite,kume,FR -> KM,D
droite (à -),kumeni,FR -> KM,D
drongo,marimuɗu; kwasiru,FR -> KM,D
du,mo,FR -> KM,D
du; cœur,mo,KM -> FR,M
dugong,nguva,FR -> KM,D
duper,ganga (u-); haɗaya (u-); laɓa (u-),FR -> KM,D
duper; tromper,ganga (u-),KM -> FR,G
duperie,mhaɗayo,FR -> KM,D
dur,-angavu,KM -> FR,A
dur à cuire,mbiavu,FR -> KM,D
durcir,halipva (u-); huhuraya (u-),FR -> KM,D
durée de vie,umuri,FR -> KM,D
dynastie,nasla,FR -> KM,D
dé (à coudre),kustuɓani,FR -> KM,D
déambuler,lenga (u-),FR -> KM,D
déambuler; errer,lenga (u-),KM -> FR,L
débardeur,shamisi,FR -> KM,D
débarquer,pahua (u-),FR -> KM,D
débarquer; déverser; accoster,pahua (u-),KM -> FR,P
débattre,shinɗana (u-); ɓaɓada (u-),FR -> KM,D
débauche,ufasiki,FR -> KM,D
débile,cuyi; gau,FR -> KM,D
débile; idiot,gau,KM -> FR,G
débiteur,mkopesadji,FR -> KM,D
déborder,kupva (u-),FR -> KM,D
débris,ntahara,FR -> KM,D
débrouiller,duburia (u-); djitapilia (u-),FR -> KM,D
débrouiller; dépêcher (se -),duburia (u-),KM -> FR,D
début,mwanɗo,FR -> KM,D
début d'après-midi,mtsana,FR -> KM,D
début d'après-midi; midi,mtsana,KM -> FR,M
débutant,mvia,FR -> KM,D
décence,huruma,FR -> KM,D
déception,utukivu,FR -> KM,D
décharge,juju; puringa,FR -> KM,D
décharger,pvahua (u-),FR -> KM,D
décharger un véhicule,kariɓisha (u-); lahiki (u-); vahua (u-),FR -> KM,D
décharger; servir (décharger la nourriture de la marmite à l’assiette),pvahua (u-),KM -> FR,P
déchaîner,lamuha (u-),FR -> KM,D
déchet,djaya; tsaha; ja,FR -> KM,D
déchet; ordure,tsaha,KM -> FR,T
déchet; tel,ja,KM -> FR,J
déchirer,nambua (u-); rarua (u-); randrua (u-); ranɗua (u-),FR -> KM,D
décider,tamkua (u-); azimia (u-); tamka (u-),FR -> KM,D
décider (se -),luha (u-),FR -> KM,D
décision,azimio,KM -> FR,A
décision; résolution,khatua,KM -> FR,K
déclencher,ra (hu-),FR -> KM,D
déclencher; jouer; peur (avoir -),ra (hu-),KM -> FR,R
déclin,nakama,FR -> KM,D
décoller,wambuha (u-),FR -> KM,D
décoller; détacher,wambuha (u-),KM -> FR,W
déconcerté (être -),zingamanyiha (u-),FR -> KM,D
déconner,pua mwaha (u-),FR -> KM,D
décorer,daidza (u-); tahanasi (u-),FR -> KM,D
découdre,ɓumua (u-); fumua (u-),FR -> KM,D
découdre; défaire,fumua (u-),KM -> FR,F
découper,dukua (u-),FR -> KM,D
découvert (nu),ɓeedhwa,FR -> KM,D
découvrir,funukua (u-),FR -> KM,D
décret,hatua,FR -> KM,D
décrire,swifu (u-),FR -> KM,D
décrire; qualifier,swifu (u-),KM -> FR,S
décrocher,hoɓoa (u-),FR -> KM,D
décrocher; briser,hoɓoa (u-),KM -> FR,H
décès,mauti,FR -> KM,D
décéder,fariki (u-),FR -> KM,D
dédaigner,onea (u-),FR -> KM,D
dédier,tamania (u-),FR -> KM,D
défaire,fungua (u-); fumua (u-),FR -> KM,D
défaite,mfuɗo,FR -> KM,D
défaut,mushkila,FR -> KM,D
défaut; imperfection,mushkila,KM -> FR,M
défendre,ɗafiî (u-); dafuû (hu-),FR -> KM,D
défense,difaî,FR -> KM,D
défi,matereo; shao,FR -> KM,D
défier,torea (u-),FR -> KM,D
défiler (manifester),andamana (u-),KM -> FR,A
définir,fasiri (u-); faswiri (u-),FR -> KM,D
définir; signifier,faswiri (u-),KM -> FR,F
déflorer,tsamia (u-),FR -> KM,D
déformer,voroa (u-),FR -> KM,D
déformer; plier; tordre,voroa (u-),KM -> FR,V
défraîchir,pvariha (u-),FR -> KM,D
déféquer,nya (hu-); kaka (u-),FR -> KM,D
déféquer; pleuvoir,nya (hu-),KM -> FR,N
dégouliner,nona (u-),FR -> KM,D
dégouter (qqun),tukiza (u-); ɗuɗusa (u-),FR -> KM,D
dégoût,utukivu,FR -> KM,D
dégoût; déception,utukivu,KM -> FR,U
dégoûtant,-ɗuɗufu muo,FR -> KM,D
dégoûter,rungamia (u-),FR -> KM,D
dégringoler,vangaruha (u-),FR -> KM,D
dégueulasse,-canfu,KM -> FR,C
dégueulasse (pers.),mcanfu; mcafi,FR -> KM,D
déguster,kumɓara (u-),FR -> KM,D
déguster; savourer; saliver,kumɓara (u-),KM -> FR,K
déhancher,minuha (u-),FR -> KM,D
déhancher ,minuha (u-),KM -> FR,M
déjeuneur,mfunguzi,FR -> KM,D
déjà,ɗingohi; kamwe; madza; ɗingosi; -paro-,FR -> KM,D
déjà; jamais,-paro-,KM -> FR,P
déjà; tout de suite; aussitôt,kamwe,KM -> FR,K
délai,pandza,FR -> KM,D
délicat (pers.),adabii,KM -> FR,A
délicatesse,uvole,FR -> KM,D
délice,tamu,FR -> KM,D
délicieux (être -),djipva (u-),FR -> KM,D
délier,fungua (u-); ɓulia (u-),FR -> KM,D
délinquance,ufudjari,FR -> KM,D
délinquant,fudjari,FR -> KM,D
délivrance,wongofu,FR -> KM,D
délivrer,ra huri (hu-); komboa (u-); ongoa (u-),FR -> KM,D
délégation,ndrume; udjumbe,FR -> KM,D
délégué,mdjumɓe,FR -> KM,D
démarche,mwenɗo; mwendro,FR -> KM,D
démerder,djitapilia (u-),FR -> KM,D
démerder; débrouiller,djitapilia (u-),KM -> FR,D
démissionner,djiuzulu (u-),FR -> KM,D
démolir,omoa (u-); ranganya (u-); ɓomwa (u-); komoa (u-),FR -> KM,D
démolissement,mhoɓoo,FR -> KM,D
démon,sera,FR -> KM,D
démonter,traua (u-),FR -> KM,D
déménagement,ipvesi; mhamo,FR -> KM,D
démêler,ɓumua (u-); tratrua (u-); ɓuhua (u-),FR -> KM,D
dénouer,fungua (u-); ɓuhua (u-),FR -> KM,D
dénouer; détacher; délier; ouvrir; rompre le jeûne; défaire,fungua (u-),KM -> FR,F
départ,mlawo,FR -> KM,D
dépasser,tsendza (u-); shiya (u-),FR -> KM,D
dépecer,tsuna (u-); ɗukua (u-); tuna (u-),FR -> KM,D
dépecer; dépiauter,tsuna (u-),KM -> FR,T
dépendre de,tegemea (u-),FR -> KM,D
dépenser (de l'argent),gharimia (u-),FR -> KM,D
dépenser de l'énergie,gharimia nvuu (u-),FR -> KM,D
dépiauter,tsuna (u-),FR -> KM,D
déplacer,ɓandzua (u-); tsedza (u-),FR -> KM,D
déplaire à,tukia (u-),FR -> KM,D
déplaire à; contrarier,tukia (u-),KM -> FR,T
déposer,hetsi (u-); kadza (u-),FR -> KM,D
déposer; laisser,hetsi (u-),KM -> FR,H
dépérir,nyengea (u-),FR -> KM,D
dépêcher (se -),pveza (u-); saruha (u-); shepveza (u-); simamia (u-); duburia (u-),FR -> KM,D
dépôt d'ordures,burdaji,FR -> KM,D
déraciner,hunua (u-); rurumua (u-),FR -> KM,D
déranger (mettre en désordre),ɗanganya (u-),FR -> KM,D
dérober,pvoha (u-),FR -> KM,D
déroulement,upvirilizi,FR -> KM,D
dérouler,zungua (u-),FR -> KM,D
désaccord,umavu mwelewano,FR -> KM,D
désaccord (être -),hitalifiana (u-),FR -> KM,D
désaccord ; différend ,umavu mwelewano,KM -> FR,U
désastre,kafa,FR -> KM,D
désastre; drame,kafa,KM -> FR,K
désensorceler,gangua (u-),FR -> KM,D
désert,djangwa,FR -> KM,D
désespoir,umavu twamaya,FR -> KM,D
désespoir ,umavu twamaya,KM -> FR,U
déshabiller,tsua (u-); tua (u-),FR -> KM,D
désherber,kokotsa (u-),FR -> KM,D
déshonneur,âiɓu,FR -> KM,D
désir,aniɗi,KM -> FR,A
désir; envie (besoin),ushauku,KM -> FR,U
désir; envies,matamani,KM -> FR,M
désister (se),djivura (u-),FR -> KM,D
désister (se); retirer (se -),djivura (u-),KM -> FR,D
désobéir,âswi (u-),FR -> KM,D
désobéir; blasphémer; pécher,âswi (u-),KM -> FR,A
désobéissance,maâswi,FR -> KM,D
désordre,ɗahasha,FR -> KM,D
désosser,sunua (u-),FR -> KM,D
désunion,ɓunguo,FR -> KM,D
désunir,farikisha (u-),FR -> KM,D
désunir; séparer,farikisha (u-),KM -> FR,F
détacher,wambuha (u-); fungua (u-),FR -> KM,D
détail,reza,FR -> KM,D
détective,pistikuli,FR -> KM,D
détendre,ledjeza (u-),FR -> KM,D
détendu,dzedze,FR -> KM,D
détention,zifungo,FR -> KM,D
détenu (être -),sikiha (u-),FR -> KM,D
détenu (être -); tenu (être -),sikiha (u-),KM -> FR,S
déterminer à,azimia (u-),FR -> KM,D
déterminer à; décider,azimia (u-),KM -> FR,A
déterrer,futsua (u-),FR -> KM,D
détester,yenga (u-),FR -> KM,D
détournement,widzi,FR -> KM,D
détresser,ɓuhua (u-),FR -> KM,D
détritus,saha,FR -> KM,D
détruire,ranganya (u-); menya (u-),FR -> KM,D
détruire; démolir,ranganya (u-),KM -> FR,R
développement,maendreleo; maenɗeleo,FR -> KM,D
développer,enɗelea (u-); endrelea (u-),FR -> KM,D
déverser,pahua (u-),FR -> KM,D
déviner,elesa (u-),FR -> KM,D
dévorer,noga (u-),FR -> KM,D
e.  relâché; détendu,dzedze,KM -> FR,D
eau,madji; maji,FR -> KM,E
eau de rose,mawaridi,FR -> KM,E
eau minérale,madja nvia,FR -> KM,E
eau saumâtre,fumbu,FR -> KM,E
eau saumâtre; écume,fumbu,KM -> FR,F
eau; jus,madji,KM -> FR,M
ecart,ngama,FR -> KM,E
ecart; fosse; tranchée,ngama,KM -> FR,N
effacement,mzimo,FR -> KM,E
effacement; suppression,mzimo,KM -> FR,M
effacer,zima (u-),FR -> KM,E
effacer; éteindre,zima (u-),KM -> FR,Z
effaroucher,vavusa (u-),FR -> KM,E
effeminé,hanithi,FR -> KM,E
efficace (pers.),msinaɗi,FR -> KM,E
efficacité,udhibitifu,FR -> KM,E
effondrement,mɓomoho; mdjomoho,FR -> KM,E
effondrer,komoha (u-),FR -> KM,E
effondrer; écrouler,komoha (u-),KM -> FR,K
effondré,djomoha (u-),KM -> FR,D
efforcer,djitahiɗi (u-),KM -> FR,D
effort,djitihaɗi,KM -> FR,D
effronté,msharishi,FR -> KM,E
Egypte,Msiri,FR -> KM,E
eh [...] ?,e,FR -> KM,E
eh [...] ?; est-ce que,e,KM -> FR,E
elle,yeye; waye; ye,FR -> KM,E
elle-même,waye,FR -> KM,E
elle; lui; lui-même; elle-même,waye,KM -> FR,W
elles,wo,FR -> KM,E
elles-mêmes,wawo,FR -> KM,E
emballer,vambia (u-); pvamɓia (u-),FR -> KM,E
emballer; envelopper,vambia (u-),KM -> FR,V
embarquer,pashia (u-),FR -> KM,E
"embarquer; monter (dans un engin, ou sur un animal); voyager",pashia (u-),KM -> FR,P
embarras,mzingamanyo,FR -> KM,E
embellir,pamba (u-),FR -> KM,E
emblème,alama,FR -> KM,E
emblème; signe; marque,alama,KM -> FR,A
embobiner (qqun),haɗaya (u-),FR -> KM,E
